	Ref	NOX	ATPase
b3008	10.90240685	10.857832	10.77983098
b3009	10.33072206	10.22724138	9.932256199
b3011	10.49431139	10.753068	10.7381417
b3012	11.54551789	11.04736102	11.37908991
b3014	8.40691461	8.988671069	8.603115863
b3015	9.979603698	10.10915312	10.09982291
b3016	10.12945529	10.0210806	10.13955768
b3017	10.04018999	10.13652057	10.18667445
b3018	11.56401609	11.59928409	11.58993337
b3019	10.54600295	10.58988261	10.89123167
b3020	10.58970109	11.3438311	10.76807952
b3021	8.451486859	8.348046589	8.025746568
b3022	7.327281045	6.956696697	7.139926258
b3023	11.05243771	11.4399872	11.00487784
b3024	12.22752536	11.47138425	11.92837164
b3025	10.16912099	10.52008536	10.30993651
b3026	9.308760993	10.15127437	9.861411315
b3027	8.54479445	9.10174292	8.907401942
b3028	10.4694153	10.15817418	10.44779435
b3029	11.24339272	10.53042772	10.77555395
b3030	10.30987937	10.00514285	9.901566015
b3031	10.73250983	10.45253175	10.40990345
b3032	11.11787589	10.83625545	10.76377937
b3033	10.39926241	10.04221616	10.1399747
b3034	10.96924171	10.70973623	10.78590354
b3035	12.16685328	12.14871438	12.00982811
b3036	7.228993136	7.122649241	7.17421115
b3037	11.41185089	11.04613808	11.01882541
b3038	11.26564717	11.17448682	11.21548712
b3039	8.636641509	9.841017912	9.355782861
b3040	9.932954001	9.858483786	10.06931275
b3041	10.69221445	10.51779201	10.61617509
b3042	11.03312398	10.3950685	10.86883902
b3043	8.32276251	9.668382997	9.171356228
b3046	6.629590089	8.363367178	7.61422536
b3047	5.57117851	8.470578295	6.866291781
b3048	6.519612991	8.380683741	7.447601853
b3049	10.63617568	9.16867042	9.843656002
b3050	6.301649049	8.402454211	7.137906517
b3051	5.036870378	6.258976379	6.297646374
b3052	8.053426637	8.157125244	8.067271032
b3053	10.37578921	10.028701	10.06241981
b3054	11.52307363	11.4967904	11.38506323
b3055	9.552736067	9.563580523	9.958368351
b3056	9.77053749	9.55618811	9.854895528
b3057	10.43334138	10.80080029	10.67444155
