,REF,NOX,ATP
b0677,0.13208714670487032,0.14848763153528499,0.19702490176650411
b0759,0.93190892526311542,0.59800194591903744,0.73879960347832307
b2582,0.17511973186398885,0.15002863326617527,0.24810106420831446
b1107,0.10950621497139651,0.2186027230554547,0.056483206301842261
b4208,0.1831710224260599,0.30121363842055326,0.26854183964493583
b2240,0.1241120156625776,0.033141875751530998,0.12754191941873552
b2987,1.2168135855159428,1.0245818092658145,1.256188314480619
b0574,1.3701582148596567,0.58474429404322736,1.9244659732535849
b2813,0.1241120156625776,0.033141875751530998,0.12754191941873552
b0854,0.77423469773058695,0.57559661411117935,0.6964783213717165
b0142,0.26771922997099351,0.14757035970115556,0.4098516045067126
b2801,2.3550045819404946,0.9694561423648892,2.1407084553701736
b0720,0.32759770280445327,0.38166740296087465,0.23962742072487864
b2907,0.32494927328513706,0.47488786258697141,0.1977895143569843
b0678,0.56652225984888049,0.38834765953543643,0.72197456501138224
b3367,0.80349307612957255,0.62193313048073962,0.70157164623889434
b1469,0.70148780957904711,0.71515692031538758,1.1226147487128812
b1207,0.65123557699569534,0.45506298306551723,0.34199767926445318
b0074,0.47570265462986805,0.32860352516434016,0.46704411382244687
b0181,0.28296749547849365,0.21010864533701451,0.28140629736612877
b2206,0.79495902092242499,0.29759717910905159,0.73167376793091998
b2130,0.60078579121174558,0.13344581523099117,0.75242499142516217
b2260,1.1687696427164733,0.85487701822048934,2.1845737882637715
b4013,0.21041595768611368,0.39309225184385821,0.55325844989863615
b3845,0.37605818147509812,0.16505623135665676,0.55230860885261979
b4034,0.13782687532216498,0.12126938313481676,0.2222032130613755
b0173,0.084472353570797354,0.13714363021186143,0.10380468026365705
b2312,0.58297608864706618,0.58707572806381514,0.12052855411366967
b4169,0.20418559660232247,0.13779520944857732,0.47471268765321384
b2476,0.63524196024517232,0.20534789801631109,0.30293929182933377
b3384,0.33704701269679938,0.35824573355408762,0.66832701093520042
b3565,0.69683218991733198,0.50289378928960138,0.7494272907977807
