,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,galM,glk,pgm,pgi,pfkA,pfkB,fbp,fbaB,gapC,gpmA,gpmB,pykA,pykF,ppsA,zwf,pgl,gnd,rpe,rpiA,rpiB,tktA,tktB,talA,talB
b2133,0.0160269487,0.0130324955,0.0170264385,0.0192756928,0.0203713196,0.0120647308,0.0124208853,0.0101058816,0.008992899,0.0088370814,0.0120424712,0.0113301624,0.012376366,0.0121092501,0.0113746817,0.012242808,0.0110630465,0.0115082396,0.0125989625,0.0126880011,0.0087703025,0.0114637203,0.0121315098,0.0133112713,0.0111743448,0.01275478,0.0114414606,0.0107291518,0.0138232433
b2296,0.0233726335,0.0261112055,0.0253385581,0.044512142,0.0448781703,0.0193658964,0.0166502189,0.0233726335,0.0140680994,0.022259651,0.0195662332,0.0188539244,0.0244856161,0.0185200296,0.019009742,0.0208127737,0.0189207033,0.0201227245,0.0205011386,0.0247082126,0.0177409418,0.0207237351,0.0460774776,0.022704844,0.020345321,0.021814458,0.0201004649,0.0194771946,0.0178522401
b2297,0.0072121269,0.0068166421,0.0097533339,0.0157147214,0.0166442361,0.0064107795,0.0064998181,0.0080134744,0.0059878461,0.0072121269,0.0062549619,0.0072121269,0.0088593411,0.0064552988,0.0052755373,0.0055426531,0.0058097689,0.0059433268,0.0062994812,0.0062994812,0.0064107795,0.0049193829,0.0062327023,0.0059655865,0.006188183,0.0058542882,0.0057875093,0.005676211,0.0067669339
b2388,0.008035734,0.0087114376,0.0131720282,0.0195466363,0.0159294529,0.0079466954,4.20707403837209e-06,0.0106623728,0.0064330391,0.0094603517,0.0074124638,0.0064998181,0.0076573199,0.0088148218,0.0072121269,0.0074569831,0.0073234252,0.0061436637,0.0069672708,0.0086812639,0.008480927,0.0102394395,0.0083473691,0.0067891936,0.0075682813,0.0076573199,0.008035734,0.0075460217,0.0061659233
b2415,0.0752376204,0.0526845561,0.1561874086,0.2759752806,0.3502437407,0.0527553729,0.0614366368,0.0520875833,0.1039525702,0.0603236542,0.0565395135,0.0656659704,0.0596558647,0.0725664622,0.0618818298,0.0714534797,0.0723438657,0.0721212692,0.0556491275,0.066778953,0.0921549551,0.0489712322,0.0400673718,0.055426531,0.0665563565,0.0402899683,0.0723438657,0.0589880751,0.0485260392
b2416,0.0447418985,0.041361998,0.109934485,0.1795968166,0.2425157096,0.0398447753,0.0471904601,0.0409577578,0.0830284982,0.0503068113,0.0429611264,0.0456322845,0.0500842147,0.0547587415,0.044074109,0.045409688,0.0498616182,0.0538683554,0.0467452671,0.0489712322,0.0694501111,0.0356154416,0.032721687,0.0469678636,0.0500842147,0.0349476521,0.0518649868,0.045409688,0.0474130566
b2417,0.0373962137,0.0270354959,0.0429012625,0.0607687504,0.0679043987,0.0229274405,0.0262663882,0.0307183184,0.0338346695,0.0313861079,0.0284923533,0.0293827393,0.0302731254,0.023150037,0.0280471603,0.0264889847,0.0264889847,0.0276019672,0.0247082126,0.0284923533,0.0271567742,0.0242630196,0.0411803543,0.0373962137,0.0260437917,0.0391769858,0.0329442835,0.0253760021,0.0260437917
b2463,0.0718986727,0.0649314047,0.0827860299,0.0731547378,0.0622882454,0.0656659704,0.0725664622,0.0556491275,0.0309409149,0.0371736172,0.0580976891,0.0745698308,0.05676211,0.0801347436,0.0572073031,0.0739020413,0.0634400053,0.0623270228,0.0614366368,0.0627722158,0.0536457589,0.0665563565,0.0434063194,0.056316917,0.0745698308,0.0480808462,0.0607688472,0.0451870915,0.0690049181
b2464,0.023150037,0.0332744565,0.0205121661,0.0311197932,0.0379856185,0.014157138,0.0161827663,0.0503068113,0.0260437917,0.0262663882,0.0262663882,0.0244856161,0.0282697568,0.0090819376,0.0280471603,0.0165389207,0.0191210402,0.0172512295,0.0148471872,0.0187871454,0.0116417975,0.022704844,0.0262663882,0.0152701206,0.0128660783,0.0349476521,0.0130441555,4.22933368936877e-05,0.0169173348
b2465,0.0202562824,0.0279597864,0.0197412841,0.030152138,0.0337990315,0.0127325204,0.012242808,0.0489712322,0.0267115812,0.0262663882,0.0244856161,0.0217031597,0.0282697568,0.0084364077,0.0224822475,0.0128438186,0.0164721417,0.0176519032,0.014157138,0.0174515664,0.0115082396,0.0180970963,0.021302486,0.0111743448,0.0123541063,0.0300505288,1.42684362888704e-05,0.0463000741,0.0174070471
b2779,0.0494164252,0.0596167346,0.103901495,0.2248830828,0.3298213651,0.0400673718,0.0365058276,0.0601010577,0.0509746008,0.0532005659,0.0507520043,0.0447418985,0.0605462507,0.0418481439,0.0532005659,0.0518649868,0.0487486357,0.0471904601,0.0387317927,0.0545361449,0.0414029509,0.0391769858,0.0598784612,0.034502459,0.0402899683,0.0509746008,0.0431837229,0.0438515125,0.0409577578
b2914,0.0101504009,0.0085265795,0.0153841246,0.0260492796,0.0346159266,0.0086367446,0.0091709762,0.0092822745,0.0134225696,0.0110853062,0.0088370814,0.0082138112,0.0094603517,0.0086144849,0.0113746817,0.009504871,0.0101281412,0.0099278043,0.0091932359,0.0093490534,0.0104175167,0.0065888567,0.0096384289,1.0706892129402e-05,0.0088593411,0.0075015024,0.0096829482,0.0083251095,0.0082583305
b2925,0.0460774776,0.0355851827,0.0811101993,0.1285046187,0.1975864834,0.0378414067,0.0351702486,0.0565395135,0.0636626019,0.0391769858,0.0427385299,0.0409577578,0.0431837229,0.034057266,0.0402899683,0.0353928451,0.0396221788,0.032721687,0.0416255474,0.0378414067,0.0420707404,0.0358380381,0.0329442835,0.0369510207,0.032721687,0.0438515125,0.034502459,0.0373962137,0.044074109
b2926,0.0496390217,0.0508359752,0.0744068771,0.1594695871,0.2037131961,0.0476356531,0.0324990905,0.0572073031,0.0629948123,0.0489712322,0.0407351613,0.0385091962,0.0474130566,0.0456322845,0.0463000741,0.0540909519,0.0507520043,0.0478582496,0.0431837229,0.0565395135,0.0458548811,0.0507520043,0.0605462507,0.0434063194,0.0438515125,0.0304957219,0.0491938287,0.044964495,0.0380640032
b2935,0.0253760021,0.0166834428,0.0576485714,0.0952172777,0.1215131345,0.0235952301,0.0244856161,0.0206569561,0.0300505288,0.0195662332,0.0220593141,0.0188984437,0.0197888297,0.0238178266,0.0264889847,0.0289375463,0.0269341777,0.0229274405,0.023150037,0.0238178266,0.0271567742,0.0255985986,0.015181082,0.0276019672,0.0271567742,7.21212692292359e-05,0.0262663882,0.0251534056,0.0192100788
b2976,0.0371736172,0.0247247698,0.028623186,0.0194692239,0.0132234882,0.0385091962,0.0253760021,0.0143574749,0.0141348784,0.0240404231,0.0224822475,0.0271567742,0.0218812369,0.0291601428,0.0190320016,0.0260437917,0.0262663882,0.0278245637,0.0371736172,0.034057266,0.022704844,0.0271567742,0.0199891666,0.022704844,0.0273793707,0.0369510207,0.0271567742,0.0349476521,0.0480808462
